Product_ID,Product type,Tax_DE,Product_name_DE,Code,Stock_DE,Product_description_DE,Showcase_Mixins,Grape_DE,Country_DE,Region_DE,Winery_DE,Vintage,Image_1,Image_2,Image_3,Image_4,Product_name_EN,Product_description_EN,Grape_EN,Country_EN,Region_EN,Winery_EN,Color_DE,Color_EN,Flavor_DE,Flavor_EN,WineStyle_DE,WineStyle_EN,TastesLike_DE,TastesLike_EN,PairsWellWith_DE,PairsWellWith_EN,AlcoholContent,ResidualSugar,Acidity,DrinkingTemperature,QualityLevel,Maturation_DE,Maturation_EN,ClosureType_DE,ClosureType_EN,DrinkableUntil_DE,DrinkableUntil_EN,Awards_DE,Awards_EN
138b30a1-bcb1-43aa-858e-7f58,BASIC,STANDARD_19,Chenin Weiß,1248-3464,18,"Der Chenin Blanc von Ken Forrester ist ein eleganter und erfrischender Weißwein aus Südafrika. Hergestellt aus der Chenin Blanc Traube, die in der Region Stellenbosch angebaut wird, ist dieser Wein bekannt für seine ausgeprägten Aromen von Zitrusfrüchten und Honig. Der Jahrgang 2019 bietet einen ausgewogenen Geschmack, der durch eine angenehme Säure ausgeglichen wird. Dieser Wein ist eine perfekte Ergänzung zu Fischgerichten und Salaten oder einfach nur als Aperitif zu genießen. Mit einem Preis von 22 Euro bietet der Chenin Blanc von Ken Forrester ein hervorragendes Preis-Leistungs-Verhältnis.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v8.json,Chenin Weiß,Südafrika,Stellenbosch,Ken Forrester,2019,c5954c40-ca01-4022-a8e9-65771e446d78.png,2e87745f-da09-4ffd-a7e8-ddc25b460def.png,043c8e5a-f9c5-4508-afb2-c83bb1428c5e.png,9d1f2c56-d760-43fa-a8b3-1f1664fe9442.png,Chenin Blanc,"The Chenin Blanc from Ken Forrester is an elegant and refreshing white wine from South Africa. Made from the Chenin Blanc grape, which is grown in the Stellenbosch region, this wine is known for its distinctive flavours of citrus fruit and honey. The 2019 vintage offers a balanced flavour that is balanced by a pleasant acidity. This wine is a perfect accompaniment to fish dishes and salads or simply to be enjoyed as an aperitif. At a price of 22 euros, Ken Forrester's Chenin Blanc offers excellent value for money.",Chenin Blanc,South Africa,Stellenbosch,Ken Forrester,White,White,Trocken,Dry,"fruchtig, frisch","fruity, fresh","Zitrusfrüchte, Honig","Citrus Fruits, Honey","Fisch, Salate, Vorspeisen","Fish, Salads, Appetizers",12.0%,4.0 g/L,6.0 g/L,9-12°C (48-54°F),Wine of Origin (WO),Edelstahltanks,Stainless steel tanks,Kork,Cork,Jetzt bis 2025,Now and until 2025,Goldmedaille Decanter World Wine Awards 2020,Gold Medal Decanter World Wine Awards 2020
e1c9e2d2-6eab-4b8a-a127-d2ae,BASIC,STANDARD_19,Malvasier,1789-5950,2,"Malvasia Weißwein von Barbeito: Dieser Malvasia Weißwein aus Portugal,Madeira von Barbeito hat eine wunderschöne goldene Farbe und eine komplexe Nase mit Aromen von getrockneten Früchten, Honig, Zitrusfrüchten und Gewürzen. Am Gaumen ist er vollmundig und reichhaltig mit einer ausgewogenen Säure und einem langen, angenehmen Abgang. Dieser Jahrgang aus dem Jahr 2013 ist jetzt perfekt trinkreif und passt hervorragend zu würzigen Speisen oder Desserts.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v8.json,Malvasia,Portugal,Madeira,Barbeito,2013,32249125-4de9-4853-a8b1-8805f19bd22f.png,ba3907a3-c326-4894-83bc-1811dafaa0b0.png,d151f1fa-f23b-45bf-b75a-ca1bad5bdefe.png,e40f81fb-8168-4808-8294-3633bb173a8d.png,Malmsey,"Malvasia white wine from Barbeito: This Malvasia white wine from Portugal,Madeira from Barbeito has a beautiful golden colour and a complex nose with aromas of dried fruit, honey, citrus and spices. On the palate, it is full-bodied and rich with a balanced acidity and a long, pleasant finish. This 2013 vintage is now perfectly ripe for drinking and is an excellent accompaniment to savoury dishes or desserts.",Malvasia,Portugal,Madeira,Barbeito,Weiß,White,Süß,Sweet,"fruchtig","fruity","Honig, Zitrusfrüchte, Gewürze","Honey, Citrus Fruits, Spices","Herzhafte Gerichte, Desserts","Savory Dishes, Desserts",13.0%,90.0 g/L,5.0 g/L,12-14°C (54-57°F),Madeira DOC,Neutrale Eichenfässer,Neutral oak barrels,Kork,Cork,Jetzt bis 2040,Now and until 2040,Goldmedaille International Wine Challenge 2019,Gold Medal International Wine Challenge 2019
5d4c5324-89a8-4db1-8ee8-0c69,BASIC,STANDARD_19,Cabernet Sauvignon,1819-9412,4,"Dieser Cabernet Sauvignon stammt aus dem renommierten Caymus Vineyards im Napa Valley, Kalifornien. Der Jahrgang 2016 präsentiert sich in einer tiefroten Farbe und verströmt Aromen von dunklen Früchten, Vanille und Gewürzen. Am Gaumen ist er vollmundig und kräftig mit einer ausgewogenen Säure und feinen Tanninen. Dieser Wein passt besonders gut zu gegrilltem Fleisch und kräftigen Saucen.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v8.json,Cabernet Sauvignon,USA,Napa Valley,Caymus Vineyards,2016,c6e78a08-21f4-4483-a81b-a4967b01424f.png,9870f0c3-08c0-4c06-8488-09c8e19dc393.png,e8e3734e-5e8f-4cc9-98b1-98de274f13bf.png,4055fd9c-1020-4528-9341-3c0dae0f0243.png,Cabernet Sauvignon,"This Cabernet Sauvignon comes from the renowned Caymus Vineyards in Napa Valley, California. The 2016 vintage has a deep red colour and exudes aromas of dark fruits, vanilla and spices. On the palate, it is full-bodied and powerful with a balanced acidity and fine tannins. This wine goes particularly well with grilled meat and strong sauces.",Cabernet Sauvignon,USA,Napa Valley,Caymus Vineyards,Rot,Red,Trocken,Dry,"kräftig","strong","Früchte, Vanille, Gewürze","Fruits, Vanilla, Spices","Fleisch","Meat",13.5%,2.0 g/L,5.5 g/L,16-18°C (61-64°F),AVA (American Viticultural Area),Französische Eichenfässer,French oak barrels,Kork,Cork,Jetzt bis 2035,Now and until 2035,Platin-Auszeichnung Critics Challenge International Wine Competition 2018,Platinum Award Critics Challenge International Wine Competition 2018
5b73181a-49d1-4e2c-b90f-bd7e,BASIC,STANDARD_19,Amarone aus dem Valpolicella,2069-3871,4,"Dieser exzellente Amarone della Valpolicella Rotwein stammt aus der Region Veneto in Italien und wird von dem renommierten Weingut Tommasi hergestellt. Hergestellt aus den Rebsorten Corvina, Rondinella und Molinara, zeigt er eine tiefrote Farbe und ein komplexes Aroma von reifen Früchten, Gewürzen und Tabak. Am Gaumen ist er vollmundig und ausdrucksstark mit seidigen Tanninen und einem langen, intensiven Abgang. Ein perfekter Begleiter zu reichhaltigen Fleischgerichten oder Käseplatten.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v8.json,Corvina/ Rondinelle / Molinara,Italien,Venetien,Tommasi,2016,f792a943-8cb1-46a6-ac7a-404070b9c162.png,01765d7d-91e7-434f-a8c8-9569b109df50.png,a732f289-24e1-41fc-99fb-b5e872ed85ea.png,4faaee2a-aedb-40e8-9ffc-f07c1365385b.png,Amarone of Valpolicella,"This excellent Amarone della Valpolicella red wine comes from the Veneto region in Italy and is produced by the renowned Tommasi winery. Made from the Corvina, Rondinella and Molinara grape varieties, it has a deep red colour and a complex aroma of ripe fruit, spices and tobacco. It is full-bodied and expressive on the palate with silky tannins and a long, intense finish. A perfect accompaniment to rich meat dishes or cheese platters.",Corvina/ Rondinella / Molinara,Italy,Veneto,Tommasi,Rot,Red,Trocken,Dry,"vollmundig","full-bodied","Früchte, Gewürze","Fruits, Spices","Fleisch, Käse","Meat, Cheese",15.0%,7.0 g/L,5.0 g/L,18-20°C (64-68°F),DOCG Amarone della Valpolicella,Slawonische Eichenfässer,Slavonian oak barrels,Kork,Cork,Jetzt bis 2030,Now and until 2030,Goldmedaille Mundus Vini 2019,Gold Medal Mundus Vini 2019
6b0fa0f8-7db9-49b4-80b4-6eeb,BASIC,STANDARD_19,Viognier,2090-1177,5,"Dieser Viognier aus der Rhône-Region Frankreichs wird von E. Guigal produziert und hat eine helle, goldene Farbe. Der Wein hat ein aromatisches Bouquet von Pfirsichen, Aprikosen und tropischen Früchten. Im Mund ist er vollmundig mit einer leichten Süße und einer angenehmen Säure, die dem Wein eine schöne Frische verleiht. Dieser Viognier passt gut zu Gerichten mit Meeresfrüchten oder Hühnchen, aber auch als Aperitif ist er eine gute Wahl.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v8.json,Viognier,Frankreich,Rhone,E. Guigal,2019,9b680f99-f911-4ce4-bf54-d3da19759966.png,3320f83f-9bcd-470c-b01b-5560932cecba.png,d19a7457-3cec-49aa-92c2-1cb522c94d0e.png,5c59d409-dba7-4d2a-804f-56489eb0f92d.png,Viognier,"This Viognier from the Rhône region of France is produced by E. Guigal and has a light, golden colour. The wine has an aromatic bouquet of peaches, apricots and tropical fruits. In the mouth, it is full-bodied with a slight sweetness and a pleasant acidity that gives the wine a lovely freshness. This Viognier goes well with seafood or chicken dishes, but is also a good choice as an aperitif.",Viognier,France,Rhône,E. Guigal,Weiß,White,Halbtrocken,Semi-Dry,"blumig","floral","Früchte","Fruits","Meeresfrüchte, Geflügel","Meat, Cheese",13.5%,3.0 g/L,4.5 g/L,10-13°C (50-55°F),AOC Condrieu,Edelstahltanks und Eichenfässer,Stainless steel tanks and Oak barrels,Kork,Cork,Jetzt bis 2026,Now and until 2026,Silbermedaille International Wine & Spirit Competition 2020,Silver Medal International Wine & Spirit Competition 2020
1d5540c5-2e35-46c3-af97-227a,BASIC,STANDARD_19,Amarone della Valpolicella Riserva,2157-7399,2,"Amarone della Valpolicella Riserva ist ein italienischer Rotwein aus dem Veneto-Gebiet, der aus den Rebsorten Corvina, Rondinella und Molinara hergestellt wird. Dieser hochwertige Wein stammt vom renommierten Weingut Bertani und wurde im Jahr 2013 vinifiziert. Mit seiner tiefen rubinroten Farbe und seinem intensiven Bouquet von dunklen Früchten, Gewürzen und Schokolade verführt er die Nase. Am Gaumen zeigt er eine außergewöhnliche Dichte und Komplexität, die von reifen Tanninen und einem Hauch von Vanille und Kaffee begleitet wird. Dieser Wein ist ein idealer Begleiter zu kräftigen Fleischgerichten oder gereiftem Käse.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v8.json,Corvina / Rondinella/ Molinara,Italien,Venetien,Bertani,2013,4cd4e1ca-e90d-47d1-9a79-8ead318c5148.png,f65850d6-8254-4bfc-8852-f83d62644111.png,4b6ff9c8-cb00-43c7-b464-86c29db8f9f3.png,5fc1faa9-900a-4dcb-8282-04eb767c7ae9.png,Amarone della Valpolicella Riserva,"Amarone della Valpolicella Riserva is an Italian red wine from the Veneto region, made from the Corvina, Rondinella and Molinara grape varieties. This high-quality wine comes from the renowned Bertani winery and was vinified in 2013. With its deep ruby red color and intense bouquet of dark fruits, spices and chocolate, it seduces the nose. On the palate, it shows exceptional density and complexity, accompanied by ripe tannins and a hint of vanilla and coffee. This wine is an ideal accompaniment to strong meat dishes or mature cheese.",Corvina / Rondinella / Molinara,Italy,Veneto,Bertani,Rot,Red,Trocken,Dry,"vollmundig","full-bodied","Früchte, Gewürze, Schokolade, Vanille","Fruits, Spices, Chocolate, Vanilla","Fleisch, Käse","Meat, Cheese",15.5%,8.0 g/L,5.5 g/L,18-20°C (64-68°F),DOCG Amarone della Valpolicella Riserva,Slawonische Eichenfässer,Slavonian oak barrels,Kork,Cork,Jetzt bis 2040,Now and until 2040,,
95cfa679-968c-43ee-8a53-763d,BASIC,STANDARD_19,Chenin Weiß,2203-6460,20,"Ein Weißwein aus Südafrika, der von Sadie Family Wines hergestellt wird. Der Jahrgang 2020 besteht aus 100% Chenin Blanc-Trauben und stammt aus der Weinregion Swartland. Der Wein hat eine helle goldene Farbe und ein Aroma von reifen Ã„pfeln, Honig und Blüten. Der Geschmack ist frisch und fruchtig mit einer lebendigen Säure und einem angenehmen Abgang. Dieser Wein passt hervorragend zu würzigen Gerichten, aber auch zu leichteren Gerichten wie Fisch oder Salaten. Der Preis für eine Flasche beträgt 30 Euro.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v8.json,Chenin Weiß,Südafrika,Swartland,Sadie Family Wines,2020,95816534-13ff-47b0-9213-bfc4bae4fd95.png,ae61de0f-d06e-4a9d-9eaa-32d5048e864c.png,b68116a8-af1e-4ce2-876e-2773bc3eadf0.png,bbcfa5e6-5078-4ba0-b93e-60ff04037f05.png,Chenin Blanc,"A white wine from South Africa produced by Sadie Family Wines. The 2020 vintage is made from 100% Chenin Blanc grapes and comes from the Swartland wine region. The wine has a light golden color and an aroma of ripe apples, honey and flowers. The taste is fresh and fruity with a lively acidity and a pleasant finish. This wine goes perfectly with spicy dishes, but also with lighter dishes such as fish or salads. The price for a bottle is 30 euros.",Chenin Blanc,South Africa,Swartland,Sadie Family Wines,Weiß,White,Halbtrocken,Semi-Dry,"fruchtig, frisch","fruity, fresh","Früchte, Honig, Blumen","Fruits, Honey, Flowers","Würzige Gerichte, Meeresfrüchte","Spicy Dishes, Seafood",12.0%,4.0 g/L,6.0 g/L,9-12°C (48-54°F),Wine of Origin (WO),Alte Eichenfässer,Old oak barrels,Kork,Cork,Jetzt bis 2030,Now and until 2030,Goldmedaille Decanter World Wine Awards 2021,Gold Medal Decanter World Wine Awards 2021
2d3fb7b6-7601-4aee-9c0f-24e7,BASIC,STANDARD_19,Tignanello,2380-8836,9,"Der Tignanello ist ein Rotwein aus der Toskana, hergestellt aus einer Mischung aus Sangiovese, Cabernet Sauvignon und Cabernet Franc. Dieser Wein zeichnet sich durch seine komplexe Nase aus, die Aromen von roten Früchten, Gewürzen und Tabak enthält. Am Gaumen ist er kraftvoll und ausgewogen mit reifen Tanninen und einem langen Abgang. Der Tignanello ist ein Klassiker unter den italienischen Weinen und der Jahrgang 2017 von Marchesi Antinori ist besonders gelungen. Dieser Rotwein passt hervorragend zu gereiftem Käse, gegrilltem Fleisch und Wildgerichten.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v8.json,Sangiovese / Cabernet Sauvignon / Cabernet Frankreich,Italien,Toskana,Antinori,2017,d96cbb07-febf-4393-ba1f-ef6a72e45b11.png,ae41ea91-37b0-41f0-a0e3-27b8ce77e335.png,370a73c3-850d-46b3-8656-e8fbca358e36.png,296fe6f9-c89b-475d-b3a2-44cd980a5719.png,Tignanello,"Tignanello is a red wine from Tuscany, made from a blend of Sangiovese, Cabernet Sauvignon and Cabernet Franc. This wine is characterized by its complex nose, which contains aromas of red fruits, spices and tobacco. On the palate, it is powerful and balanced with ripe tannins and a long finish. Tignanello is a classic among Italian wines and the 2017 vintage from Marchesi Antinori is particularly successful. This red wine is an excellent accompaniment to mature cheese, grilled meat and game dishes.",Sangiovese / Cabernet Sauvignon / Cabernet France,Italy,Tuscany,Antinori,Rot,Red,Trocken,Dry,"kräftig","strong","Früchte, Gewürze","Fruits, Spices","Käse, Fleisch","Cheese, Meat",13.5%,1.0 g/L,5.0 g/L,16-18°C (61-64°F),IGT Toscana,Französische Eichenfässer,French oak barrels and Hungarian oak barrels,Kork,Cork,Jetzt bis 2035,Now and until 2035,Goldmedaille Decanter World Wine Awards 2020,Gold Medal Decanter World Wine Awards 2020
f5de5e85-d531-4882-a3c3-d7db,BASIC,STANDARD_19,Sauvignon Weiß,2580-3143,6,"Dieser trockene Weißwein aus Neuseeland begeistert mit einer lebhaften Säure und intensiven Aromen von Stachelbeere, Passionsfrucht und frisch gemähtem Gras. Der Sauvignon Blanc von Cloudy Bay stammt aus der Region Marlborough und wurde im Jahr 2020 geerntet. Er eignet sich hervorragend als Aperitif oder als Begleiter zu leichten Gerichten wie Salaten, Meeresfrüchten und Geflügel.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v8.json,Sauvignon Weiß,Neuseeland,Marlborough,Cloudy Bay,2020,28e93d37-d538-4c5f-804f-aad8067f7163.png,8310905d-d49a-45be-8372-02d290cc27e0.png,d1353842-bea5-41df-883d-01defd42a9e9.png,9ee7baf9-b12d-448f-b5d4-1f9121b294b5.png,Sauvignon Blanc,"This dry white wine from New Zealand impresses with its lively acidity and intense aromas of gooseberry, passion fruit and freshly mown grass. The Sauvignon Blanc from Cloudy Bay comes from the Marlborough region and was harvested in 2020. It is ideal as an aperitif or as an accompaniment to light dishes such as salads, seafood and poultry.",Sauvignon Blanc,New Zealand,Marlborough,Cloudy Bay,Weiß,White,Trocken,Dry,"frisch","fresh","Früchte","Fruits","Salate, Meeresfrüchte","Salads, Seafood",13.0%,2.0 g/L,6.5 g/L,8-10°C (46-50°F),Wine of Origin (WO),Edelstahltanks,Stainless steel tanks,Schraubverschluss,Screw Cap,Jetzt bis 2025,Now and until 2025,Goldmedaille International Wine Challenge 2021,Gold Medal International Wine Challenge 2021
7ee117c6-9d1d-4d1e-babe-e0dc,BASIC,STANDARD_19,Pinot Noir Rosé,2792-4624,9,Dieser Roséwein aus Frankreichs Loire-Tal wird aus der Pinot Noir Traube hergestellt. Der Domaine de la Pépière 2020 hat eine leuchtende rosa Farbe und ein delikates Aroma von roten Früchten wie Erdbeeren und Himbeeren. Am Gaumen ist er frisch und fruchtig mit einem leichten Körper und einem angenehmen Abgang. Er eignet sich ideal als Aperitif oder Begleiter zu leichten Gerichten wie Salaten und Meeresfrüchten. Der Preis beträgt 15 Euro.,https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v8.json,Pinot Noir,Frankreich,Loire,Domaine de la Pépière,2020,c84340e1-6134-449b-a9ce-371ca1d9b204.png,118264ab-f14e-4c9b-8d0c-9e33cac70885.png,653f3e52-8b99-4632-a221-6314fe86bf81.png,4858b48a-daa0-4ede-a310-9241f3b4fbcf.png,Pinot Noir Rosé,This rosé wine from France's Loire Valley is made from the Pinot Noir grape. The Domaine de la Pépière 2020 has a bright pink color and a delicate aroma of red fruits such as strawberries and raspberries. It is fresh and fruity on the palate with a light body and a pleasant finish. It is ideal as an aperitif or as an accompaniment to light dishes such as salads and seafood. The price is 15 euros.,Pinot Noir,France,Loire,Domaine de la Pépière,Rose,Rose,Halbtrocken,Semi-Dry,"frisch, leicht","fresh, light","Früchte","Fruits","Salate, Meeresfrüchte","Salads, Seafood",12.5%,5.0 g/L,6.0 g/L,8-10°C (46-50°F),AOC Muscadet,Edelstahltanks,Stainless steel tanks,Schraubverschluss,Screw Cap,Jetzt bis 2024,Now and until 2024,,
